,600094.XSHG,600160.XSHG,600008.XSHG,600903.XSHG,000959.XSHE,600970.XSHG,002302.XSHE,600823.XSHG,002503.XSHE,600664.XSHG
2015-01-05 10:00:00,7.85,4.55,4.88,,4.16,7.84,7.36,4.56,3.53,5.27
2015-01-05 10:30:00,7.9,4.58,4.91,,4.17,7.93,7.35,4.49,3.54,5.27
2015-01-05 11:00:00,7.86,4.61,5.06,,4.31,7.9,7.33,4.43,3.51,5.27
2015-01-05 11:30:00,7.9,4.64,5.13,,4.29,7.94,7.4,4.44,3.49,5.27
2015-01-05 13:30:00,7.85,4.65,5.13,,4.31,8.03,7.41,4.44,3.49,5.27
2015-01-05 14:00:00,7.83,4.65,5.08,,4.28,8.01,7.41,4.45,3.45,5.27
2015-01-05 14:30:00,7.85,4.68,5.11,,4.3,8.02,7.39,4.5,3.51,5.27
2015-01-05 15:00:00,7.81,4.7,5.11,,4.3,7.97,7.45,4.46,3.44,5.27
2015-01-06 10:00:00,7.75,4.84,5.13,,4.25,7.82,7.38,4.35,3.47,5.27
2015-01-06 10:30:00,7.8,4.82,5.07,,4.26,7.78,7.4,4.35,3.37,5.27
2015-01-06 11:00:00,7.8,4.78,5.02,,4.22,7.63,7.3,4.28,3.38,5.27
2015-01-06 11:30:00,7.8,4.81,5.01,,4.2,7.54,7.19,4.23,3.39,5.27
2015-01-06 13:30:00,7.79,4.86,5.13,,4.23,7.66,7.27,4.28,3.42,5.27
2015-01-06 14:00:00,7.84,4.84,5.15,,4.22,7.65,7.26,4.25,3.37,5.27
2015-01-06 14:30:00,7.83,4.84,5.24,,4.22,7.64,7.26,4.24,3.39,5.27
2015-01-06 15:00:00,7.74,4.9,5.62,,4.24,7.72,7.3,4.28,3.39,5.27
2015-01-07 10:00:00,7.75,4.85,5.42,,4.27,7.76,7.29,4.24,3.42,5.27
2015-01-07 10:30:00,7.73,4.84,5.44,,4.27,7.65,7.29,4.28,3.43,5.27
2015-01-07 11:00:00,7.77,4.84,5.46,,4.26,7.65,7.3,4.31,3.42,5.27
2015-01-07 11:30:00,7.75,4.84,5.45,,4.25,7.73,7.29,4.33,3.43,5.27
2015-01-07 13:30:00,8.06,4.84,5.49,,4.24,7.68,7.26,4.3,3.48,5.27
2015-01-07 14:00:00,8.04,4.83,5.42,,4.22,7.63,7.24,4.26,3.47,5.27
2015-01-07 14:30:00,8.21,4.96,5.45,,4.24,7.63,7.3,4.28,3.53,5.27
2015-01-07 15:00:00,8.51,4.92,5.39,,4.26,7.65,7.29,4.28,3.51,5.27
2015-01-08 10:00:00,8.51,4.93,5.4,,4.24,7.48,7.24,4.24,3.54,5.27
2015-01-08 10:30:00,8.41,4.89,5.29,,4.19,7.44,7.16,4.12,3.52,5.27
2015-01-08 11:00:00,8.63,4.98,5.34,,4.19,7.48,7.18,4.14,3.68,5.27
2015-01-08 11:30:00,8.71,4.98,5.32,,4.17,7.36,7.15,4.12,3.75,5.27
2015-01-08 13:30:00,9.04,4.95,5.41,,4.15,7.37,7.14,4.11,3.84,5.27
2015-01-08 14:00:00,8.89,4.94,5.46,,4.15,7.39,7.16,4.1,3.79,5.27
2015-01-08 14:30:00,8.79,4.94,5.4,,4.16,7.37,7.14,4.11,3.81,5.27
2015-01-08 15:00:00,8.77,4.89,5.37,,4.18,7.34,7.09,4.1,3.86,5.27
2015-01-09 10:00:00,8.71,4.96,5.29,,4.18,7.25,7.17,4.11,3.84,5.27
2015-01-09 10:30:00,8.62,4.91,5.26,,4.16,7.28,7.14,4.07,3.84,5.27
2015-01-09 11:00:00,8.67,4.9,5.28,,4.17,7.31,7.15,4.1,3.85,5.27
2015-01-09 11:30:00,8.71,4.93,5.33,,4.21,7.52,7.18,4.12,3.82,5.27
