date,600094.XSHG,600160.XSHG,600008.XSHG,600903.XSHG,000959.XSHE,600970.XSHG,002302.XSHE,600823.XSHG,002503.XSHE,600664.XSHG
2015-01-05,8.02,6.66,12.09,,4.31,13.8,15.4,15.38,18.9,8.68
2015-01-06,7.94,6.95,13.3,,4.25,13.38,15.09,14.72,18.64,8.68
2015-01-07,8.73,6.99,12.76,,4.27,13.25,15.07,14.75,19.3,8.68
2015-01-08,9.0,6.94,12.65,,4.19,12.72,14.65,14.07,21.23,8.68
2015-01-09,8.92,6.92,12.23,,4.16,12.59,14.5,14.13,20.56,8.68
2015-01-12,8.76,6.88,11.71,,3.92,12.25,14.25,13.99,20.0,8.68
2015-01-13,8.91,7.16,11.65,,3.9,12.26,14.49,14.01,21.0,8.68
2015-01-14,8.95,7.08,11.52,,3.84,12.28,14.13,14.34,20.91,8.68
2015-01-15,9.63,7.15,11.83,,3.96,12.6,14.4,14.83,20.78,8.68
2015-01-16,9.51,7.1,12.41,,3.97,12.61,14.48,14.57,21.12,8.68
2015-01-19,8.99,6.39,11.17,,3.6,11.35,13.61,13.11,21.35,8.68
2015-01-20,9.35,6.61,11.43,,3.72,11.63,14.21,13.46,22.08,8.68
2015-01-21,9.81,6.78,11.83,,3.95,12.1,14.42,14.12,23.0,8.68
2015-01-22,9.82,6.95,12.25,,3.95,12.1,14.52,14.37,22.62,8.68
2015-01-23,9.75,6.92,11.95,,3.94,12.1,14.36,14.59,22.59,8.68
2015-01-26,9.78,7.15,12.19,,4.07,12.1,14.55,14.73,22.39,8.68
2015-01-27,9.64,7.45,12.32,,4.06,12.1,14.67,14.12,22.58,8.68
2015-01-28,9.8,7.28,12.05,,3.97,12.1,15.15,14.05,22.43,8.68
2015-01-29,9.67,7.21,11.55,,3.95,12.35,14.82,13.75,22.42,8.68
2015-01-30,9.4,7.08,11.7,,3.92,11.76,14.27,14.09,22.2,8.68
2015-02-02,9.21,7.27,11.2,,3.81,11.16,14.29,14.22,22.3,8.68
2015-02-03,9.44,7.28,11.3,,3.84,11.35,14.43,14.58,23.0,8.68
2015-02-04,9.27,7.24,11.18,,4.11,11.33,14.15,14.79,23.45,8.68
2015-02-05,9.29,7.01,11.08,,3.9,11.14,13.96,14.39,23.34,8.68
2015-02-06,9.05,6.81,10.85,,3.87,10.82,13.8,13.85,22.3,8.68
2015-02-09,9.14,6.81,10.5,,3.86,10.94,13.91,13.94,21.8,8.68
2015-02-10,9.19,6.86,10.81,,3.88,11.36,14.06,13.96,21.86,8.68
2015-02-11,8.89,6.78,10.79,,3.86,11.29,13.95,13.92,21.99,8.68
2015-02-12,9.16,6.77,10.92,,3.87,11.41,14.16,14.37,21.68,8.68
