,600094.XSHG,600160.XSHG,600008.XSHG,600903.XSHG,000959.XSHE,600970.XSHG,002302.XSHE,600823.XSHG,002503.XSHE,600664.XSHG
2015-01-05,7.82,4.69,5.11,,4.3,7.96,7.45,4.46,3.44,5.27
2015-01-06,7.74,4.89,5.62,,4.24,7.72,7.3,4.27,3.39,5.27
2015-01-07,8.51,4.92,5.39,,4.26,7.65,7.29,4.28,3.51,5.27
2015-01-08,8.77,4.89,5.34,,4.18,7.34,7.09,4.08,3.86,5.27
2015-01-09,8.7,4.87,5.17,,4.15,7.26,7.01,4.1,3.74,5.27
2015-01-12,8.54,4.84,4.95,,3.91,7.07,6.89,4.06,3.64,5.27
2015-01-13,8.69,5.04,4.92,,3.89,7.07,7.01,4.07,3.82,5.27
2015-01-14,8.73,4.99,4.87,,3.83,7.09,6.83,4.16,3.8,5.27
2015-01-15,9.39,5.03,5.0,,3.95,7.27,6.96,4.3,3.78,5.27
2015-01-16,9.27,5.0,5.24,,3.96,7.28,7.0,4.23,3.84,5.27
2015-01-19,8.76,4.5,4.72,,3.59,6.55,6.58,3.81,3.88,5.27
2015-01-20,9.11,4.65,4.83,,3.71,6.71,6.87,3.91,4.01,5.27
2015-01-21,9.56,4.77,5.0,,3.94,6.98,6.97,4.1,4.18,5.27
2015-01-22,9.57,4.89,5.18,,3.94,6.98,7.02,4.17,4.11,5.27
2015-01-23,9.5,4.87,5.05,,3.93,6.98,6.95,4.23,4.11,5.27
2015-01-26,9.53,5.03,5.15,,4.06,6.98,7.04,4.28,4.07,5.27
2015-01-27,9.4,5.25,5.21,,4.05,6.98,7.1,4.1,4.11,5.27
2015-01-28,9.55,5.13,5.09,,3.96,6.98,7.33,4.08,4.08,5.27
2015-01-29,9.43,5.08,4.88,,3.94,7.13,7.17,3.99,4.08,5.27
2015-01-30,9.16,4.99,4.94,,3.91,6.79,6.9,4.09,4.04,5.27
2015-02-02,8.98,5.12,4.73,,3.8,6.44,6.91,4.13,4.05,5.27
2015-02-03,9.2,5.13,4.77,,3.83,6.55,6.98,4.23,4.18,5.27
2015-02-04,9.04,5.1,4.72,,4.1,6.54,6.84,4.29,4.26,5.27
2015-02-05,9.06,4.94,4.68,,3.89,6.43,6.75,4.18,4.24,5.27
2015-02-06,8.82,4.8,4.58,,3.86,6.24,6.67,4.02,4.05,5.27
2015-02-09,8.91,4.8,4.44,,3.85,6.31,6.73,4.05,3.96,5.27
2015-02-10,8.96,4.83,4.57,,3.87,6.55,6.8,4.05,3.97,5.27
2015-02-11,8.67,4.77,4.56,,3.85,6.51,6.75,4.04,4.0,5.27
2015-02-12,8.93,4.77,4.61,,3.86,6.58,6.85,4.17,3.94,5.27
